KYTREASNOX,MCALDT,TMYTM
2000001,09/28/1990,7.0187276077
2000001,10/31/1990,6.7444660259
2000001,11/30/1990,6.6513962741
2000001,12/31/1990,5.4470246592
2000001,01/31/1991,5.8768054773
2000001,02/28/1991,5.7136792637
2000001,03/28/1991,5.8870017127
2000001,04/30/1991,5.416064879
2000001,05/31/1991,5.3875033663
2000001,06/28/1991,5.1833265567
2000001,07/31/1991,5.5408068954
2000001,08/30/1991,5.3055890496
2000001,09/30/1991,4.9887482443
2000001,10/31/1991,4.7863838742
2000001,11/29/1991,4.0632353975
2000001,12/31/1991,3.7165038872
2000001,01/31/1992,3.7274358137
2000001,02/28/1992,3.8495326005
2000001,03/31/1992,4.0114669449
2000001,04/30/1992,3.503796115
2000001,05/29/1992,3.6358723359
2000001,06/30/1992,3.5131227451
2000001,07/31/1992,3.0764873769
2000001,08/31/1992,3.0252721432
2000001,09/30/1992,2.6903718748
2000001,10/30/1992,2.7714911176
2000001,11/30/1992,2.6695518171
2000001,12/31/1992,2.924095647
2000001,01/29/1993,2.8629808971
2000001,02/26/1993,2.7206668315
2000001,03/31/1993,2.8632056868
2000001,04/30/1993,2.8528149815
2000001,05/28/1993,2.9544784744
2000001,06/30/1993,2.8632056868
2000001,07/30/1993,2.8841112117
2000001,08/31/1993,2.86253146
2000001,09/30/1993,2.7817623553
2000001,10/29/1993,2.832483438
2000001,11/30/1993,2.7507461103
2000001,12/31/1993,2.9443116923
2000001,01/31/1994,2.7915009651
2000001,02/28/1994,2.9032987816
2000001,03/31/1994,3.3918989994
2000001,04/29/1994,3.6155259568
2000001,05/31/1994,3.78769532
2000001,06/30/1994,3.5241423358
2000001,07/29/1994,3.9512905316
2000001,08/31/1994,4.3894881357
2000001,09/30/1994,4.4907686561
2000001,10/31/1994,4.3372844282
2000001,11/30/1994,4.9497012179
2000001,12/30/1994,4.7351498425
2000001,01/31/1995,5.1818525865
2000001,02/28/1995,5.0189488833
2000001,03/31/1995,5.7743909736
2000001,04/28/1995,5.7336174613
2000001,05/31/1995,5.6427565072
2000001,06/30/1995,5.3259674856
2000001,07/31/1995,5.4470246592
2000001,08/31/1995,5.3671207596
2000001,09/29/1995,5.3565358645
2000001,10/31/1995,4.9884068671
2000001,11/30/1995,5.4180780231
2000001,12/29/1995,4.5824050818
2000001,01/31/1996,4.9293244088
2000001,02/29/1996,4.979926905
2000001,03/29/1996,5.193514566
2000001,04/30/1996,4.8357082855
2000001,05/31/1996,5.0308652526
2000001,06/28/1996,4.8166226027
2000001,07/31/1996,5.0312125497
2000001,08/30/1996,5.1120131992
2000001,09/30/1996,4.9887482443
2000001,10/31/1996,4.9620990717
2000001,11/29/1996,4.9490290257
2000001,12/31/1996,4.8738811345
2000001,01/31/1997,4.9694006943
2000001,02/28/1997,5.0559845986
2000001,03/31/1997,5.2229561266
2000001,04/30/1997,4.9904560646
2000001,05/30/1997,4.4144109426
2000001,06/30/1997,5.0447502389
2000001,07/31/1997,5.1174661533
2000001,08/29/1997,5.0177849564
2000001,09/30/1997,4.7491875957
2000001,10/31/1997,4.8930089305
2000001,11/28/1997,4.9901143758
2000001,12/31/1997,5.1076353752
2000001,01/30/1998,5.0254247761
2000001,02/27/1998,5.1222005318
2000001,03/31/1998,5.2302188224
2000001,04/30/1998,4.7278187206
2000001,05/29/1998,4.5671318009
2000001,06/30/1998,4.7033850153
2000001,07/31/1998,4.7453335994
2000001,08/31/1998,4.6909641974
2000001,09/30/1998,4.0280603618
2000001,10/30/1998,3.551946008
2000001,11/30/1998,4.4415961914
2000001,12/31/1998,4.3943146741
2000001,01/29/1999,4.4093206215
2000001,02/26/1999,4.5060408504
2000001,03/31/1999,4.5575195611
2000001,04/30/1999,4.4524873101
2000001,05/28/1999,4.4195012879
2000001,06/30/1999,4.4378579644
2000001,07/30/1999,4.4500438663
2000001,08/31/1999,4.4998388502
2000001,09/30/1999,4.5012280204
2000001,10/29/1999,4.3660538664
2000001,11/30/1999,4.5710761346
2000001,12/31/1999,5.1018259635
2000001,01/31/2000,5.3859108304
2000001,02/29/2000,5.3142279076
2000001,03/31/2000,5.8559426449
2000001,04/28/2000,5.2699277175
2000001,05/31/2000,4.6746488432
2000001,06/30/2000,5.6291424028
2000001,07/31/2000,5.8749103032
2000001,08/31/2000,6.2337330537
2000001,09/29/2000,5.9196591991
2000001,10/31/2000,6.0272657762
2000001,11/30/2000,6.1189930097
2000001,12/29/2000,5.7692941998
2000001,01/31/2001,4.8274465059
2000001,02/28/2001,5.0133813859
2000001,03/30/2001,4.4322272566
2000001,04/30/2001,3.7421209392
2000001,05/31/2001,3.4453029432
2000001,06/29/2001,3.4146261678
2000001,07/31/2001,3.6402319747
2000001,08/31/2001,3.3739421809
2000001,09/28/2001,2.3776658208
2000001,10/31/2001,2.0933052972
2000001,11/30/2001,1.727535072
2000001,12/31/2001,1.6360319456
2000001,01/31/2002,1.6894928025
2000001,02/28/2002,1.7326538389
2000001,03/28/2002,1.7098036559
2000001,04/30/2002,1.7527549769
2000001,05/31/2002,1.6894928025
2000001,06/28/2002,1.6666054954
2000001,07/31/2002,1.6996877751
2000001,08/30/2002,1.6564509021
2000001,09/30/2002,1.5700393813
2000001,10/31/2002,1.4204113327
2000001,11/29/2002,1.2173566325
2000001,12/31/2002,1.1360858114
2000001,01/31/2003,1.146306235
2000001,02/28/2003,1.1945184919
2000001,03/31/2003,1.1411778473
2000001,04/30/2003,1.0930542666
2000001,05/30/2003,1.1209322327
2000001,06/30/2003,0.7936354691
2000001,07/31/2003,0.8799197267
2000001,08/29/2003,0.9712378252
2000001,09/30/2003,0.8519648892
2000001,10/31/2003,0.915424914
2000001,11/28/2003,0.9002148187
2000001,12/31/2003,0.8266563527
2000001,01/30/2004,0.8266376259
2000001,02/27/2004,0.9331832528
2000001,03/31/2004,0.9230589444
2000001,04/30/2004,0.8088810495
2000001,05/28/2004,0.9078142873
2000001,06/30/2004,1.1285792776
2000001,07/30/2004,1.2782607161
2000001,08/31/2004,1.4405747305
2000001,09/30/2004,1.4584846822
2000001,10/29/2004,1.7478456994
2000001,11/30/2004,2.032008429
2000001,12/31/2004,1.9078053199
2000001,01/31/2005,2.1615662763
2000001,02/28/2005,2.4968121415
2000001,03/31/2005,2.5987909497
2000001,04/29/2005,2.710502263
2000001,05/31/2005,2.7507461101
2000001,06/30/2005,2.9851015763
2000001,07/29/2005,3.2290180062
2000001,08/31/2005,3.3411937269
2000001,09/30/2005,3.1857987941
2000001,10/31/2005,3.696351591
2000001,11/30/2005,3.9705619269
2000001,12/30/2005,3.9462024059
2000001,01/31/2006,4.32685138
2000001,02/28/2006,4.4235178168
2000001,03/31/2006,4.5925873897
2000001,04/28/2006,4.6129522954
2000001,05/31/2006,4.6950205345
2000001,06/30/2006,4.6842325075
2000001,07/31/2006,5.0324328562
2000001,08/31/2006,4.9646458864
2000001,09/29/2006,4.6485918098
2000001,10/31/2006,5.1512046616
2000001,11/30/2006,4.9799269054
2000001,12/29/2006,4.7682474055
2000001,01/31/2007,5.0006450323
2000001,02/28/2007,5.1433013319
2000001,03/30/2007,5.0508912344
2000001,04/30/2007,4.7545869406
2000001,05/31/2007,4.6947181319
2000001,06/29/2007,4.5314949907
2000001,07/31/2007,5.1054887599
2000001,08/31/2007,4.1522907863
2000001,09/28/2007,3.4425973033
2000001,10/31/2007,3.9822547732
2000001,11/30/2007,3.2188486233
2000001,12/31/2007,2.857562028
2000001,01/31/2008,1.6641047919
2000001,02/29/2008,2.0703283907
2000001,03/31/2008,1.2375946393
2000001,04/30/2008,1.258002345
2000001,05/30/2008,1.948433781
2000001,06/30/2008,1.6944130667
2000001,07/31/2008,1.5828673114
2000001,08/29/2008,1.664066838
2000001,09/30/2008,0.9635759103
2000001,10/31/2008,0.2535021507
2000001,11/28/2008,0.0304171103
2000001,12/31/2008,0.0304171229
2000001,01/30/2009,0.1774452198
2000001,02/27/2009,0.1723749494
2000001,03/31/2009,0.1520928393
2000001,04/30/2009,0.0354867149
2000001,05/29/2009,0.0811141755
2000001,06/30/2009,0.1444877458
2000001,07/31/2009,0.1292786171
2000001,08/31/2009,0.0937884575
2000001,09/30/2009,0.0430911935
2000001,10/30/2009,0.0101389368
2000001,11/30/2009,0.0735092391
2000001,12/31/2009,0.0380215264
2000001,01/29/2010,0.0152084411
2000001,02/26/2010,0.0735094612
2000001,03/31/2010,0.1343491786
2000001,04/30/2010,0.1419538294
2000001,05/28/2010,0.1368837265
2000001,06/30/2010,0.1622352014
2000001,07/30/2010,0.1419538294
2000001,08/31/2010,0.1520928393
2000001,09/30/2010,0.1343489313
2000001,10/29/2010,0.1267435927
2000001,11/30/2010,0.1698382425
2000001,12/31/2010,0.0811141755
2000001,01/31/2011,0.1495581093
2000001,02/28/2011,0.0785790109
2000001,03/31/2011,0.0583002407
2000001,04/29/2011,0.0152084411
2000001,05/31/2011,0.0430910409
2000001,06/30/2011,0.0076041944
2000001,07/29/2011,0.0887189436
2000001,08/31/2011,0
2000001,09/30/2011,0.0152084411
2000001,10/31/2011,0.0050694554
2000001,11/30/2011,0
2000001,12/30/2011,0
2000001,01/31/2012,0.0380214274
2000001,02/29/2012,0.053230564
2000001,03/30/2012,0.0354866976
2000001,04/30/2012,0.0760441223
2000001,05/31/2012,0.0278823172
2000001,06/29/2012,0.0354866976
2000001,07/31/2012,0.0608348542
2000001,08/31/2012,0.0785792647
2000001,09/28/2012,0.0405563216
2000001,10/31/2012,0.09378906
2000001,11/30/2012,0.1216729532
2000001,12/31/2012,0.0253474951
2000001,01/31/2013,0.0608351077
2000001,02/28/2013,0.0481608343
2000001,03/28/2013,0.0405563442
2000001,04/30/2013,0.0152084284
2000001,05/31/2013,0.0152084442
2000001,06/28/2013,0.0101389368
2000001,07/31/2013,0.0101389396
2000001,08/30/2013,0.0101389368
2000001,09/30/2013,0.0202779524
2000001,10/31/2013,0.0354867149
2000001,11/29/2013,0.0253475215
2000001,12/31/2013,0.0152084284
2000001,01/31/2014,0.0506956414
2000001,02/28/2014,0.0304170976
2000001,03/31/2014,0.0177431892
2000001,04/30/2014,0.0101389396
2000001,05/30/2014,0.0228127424
2000001,06/30/2014,0.0152084316
2000001,07/31/2014,0.0050694568
2000001,08/29/2014,0.0050694564
2000001,09/30/2014,0.0152084284
2000001,10/31/2014,0.0025347252
2000001,11/28/2014,0.0050694568
2000001,12/31/2014,0.0101389396
2000001,01/30/2015,-0.020277586
2000001,02/27/2015,-0.005069432
2000001,03/31/2015,0.0354866286
2000001,04/30/2015,-0.005069432
2000001,05/29/2015,0.0025347252
2000001,06/30/2015,-0.045624145
2000001,07/31/2015,0.0304170976
2000001,08/31/2015,-0.007604142
2000001,09/30/2015,-0.027881561
2000001,10/30/2015,0.0253475215
2000001,11/30/2015,0.1216729532
2000001,12/31/2015,0.0684397457
2000001,01/29/2016,0.2281492417
2000001,02/29/2016,0.2230766865
2000001,03/31/2016,0.0760444392
2000001,04/29/2016,0.1318136476
2000001,05/31/2016,0.2281463894
2000001,06/30/2016,0.2104031681
2000001,07/29/2016,0.1825155143
2000001,08/31/2016,0.2382918893
2000001,09/30/2016,0.1875858326
2000001,10/31/2016,0.1622333986
2000001,11/30/2016,0.3042123008
2000001,12/30/2016,0.4107035521
2000001,01/31/2017,0.471549702
2000001,02/28/2017,0.428950607
2000001,03/31/2017,0.6896659275
2000001,04/28/2017,0.6744479287
2000001,05/31/2017,0.7505555176
2000001,06/30/2017,0.8570781546
2000001,07/31/2017,0.9737358663
2000001,08/31/2017,1.1107997077
2000001,09/29/2017,0.9585528179
2000001,10/31/2017,1.0041642747
2000001,11/30/2017,1.1031541114
2000001,12/29/2017,1.2376576098
2000001,01/31/2018,1.3519078532
2000001,02/28/2018,1.1914750049
2000001,03/29/2018,1.6285626155
2000001,04/30/2018,1.6487232475
2000001,05/31/2018,1.7580435183
2000001,06/29/2018,1.7783123611
2000001,07/31/2018,1.9152219152
2000001,08/31/2018,1.9636698503
2000001,09/28/2018,2.0855661902
2000001,10/31/2018,2.1771274715
2000001,11/30/2018,2.2582064615
2000001,12/31/2018,2.2580666657
